,game_date,game_id,batter_id,at_bats,hits,strikeouts,strikeouts_looking,base_on_balls,hit_by_pitch,singles,doubles,triples,hrs,bip_location,name
122,4/6/2023 12:00,204781,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
123,4/6/2023 12:00,204781,1674816,1,0,0,0,0,0,0,0,0,0,2,Vo*****a
124,4/6/2023 12:00,204781,1674820,1,0,0,0,0,0,0,0,0,0,8,Gr*****d
125,4/6/2023 12:00,204781,1599778,1,0,0,0,0,0,0,0,0,0,0,Wo**d
126,4/6/2023 12:00,204781,1651898,1,1,0,0,0,0,1,0,0,0,NULL,Bo**********t
127,4/6/2023 12:00,204781,1600251,1,1,0,0,0,0,0,0,0,1,11,Ka******r
128,4/6/2023 12:00,204781,1600762,1,0,0,0,0,0,0,0,0,0,8,St*****y
129,4/6/2023 12:00,204781,1600675,1,1,0,0,0,0,1,0,0,0,6,Do**d
130,4/6/2023 12:00,204781,1631011,1,0,0,0,0,0,0,0,0,0,8,Ma*******n
131,4/8/2023 15:00,205969,1651898,0,0,0,0,1,0,0,0,0,0,NULL,Bo**********t
132,4/8/2023 15:00,205969,1600251,1,1,0,0,0,0,1,0,0,0,11,Ka******r
133,4/8/2023 15:00,205969,1600762,1,1,0,0,0,0,1,0,0,0,14,St*****y
134,4/8/2023 15:00,205969,1600675,1,0,0,0,0,0,0,0,0,0,5,Do**d
135,4/8/2023 15:00,205969,1631011,1,0,0,0,0,0,0,0,0,0,5,Ma*******n
136,4/8/2023 15:00,205969,1651897,1,0,0,0,0,0,0,0,0,0,8,Me***e
137,4/8/2023 15:00,205969,1674816,1,0,0,0,0,0,0,0,0,0,6,Vo*****a
138,4/8/2023 15:00,205969,1674820,1,0,0,0,0,0,0,0,0,0,6,Gr*****d
139,4/8/2023 15:00,205969,1599778,1,0,0,0,0,0,0,0,0,0,4,Wo**d
140,4/8/2023 15:00,205969,1651898,1,0,1,0,0,0,0,0,0,0,NULL,Bo**********t
141,4/8/2023 15:00,205969,1600251,1,0,1,1,0,0,0,0,0,0,NULL,Ka******r
142,4/8/2023 15:00,205969,1600762,1,0,0,0,0,0,0,0,0,0,4,St*****y
143,4/8/2023 15:00,205969,1600675,1,1,0,0,0,0,1,0,0,0,13,Do**d
144,4/8/2023 15:00,205969,1631011,1,0,0,0,0,0,0,0,0,0,15,Ma*******n
145,4/8/2023 15:00,205969,1651897,1,0,0,0,0,0,0,0,0,0,15,Me***e
146,4/8/2023 15:00,205969,1674816,1,0,0,0,0,0,0,0,0,0,6,Vo*****a
147,4/8/2023 15:00,205969,1674820,1,1,0,0,0,0,0,1,0,0,12,Gr*****d
148,4/8/2023 15:00,205969,1599778,1,0,0,0,0,0,0,0,0,0,8,Wo**d
149,4/8/2023 15:00,205969,1651898,1,1,0,0,0,0,1,0,0,0,6,Bo**********t
150,4/8/2023 15:00,205969,1600251,1,0,0,0,0,0,0,0,0,0,8,Ka******r
