"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Xander Bogaerts","BOS","SS","855","844","7533.1","1102","2079","73","32","41","403","232","173","30","","","","","",".978","","12161"
"Rougned Odor","TEX","2B","797","777","6850.2","1469","2112","91","54","37","569","229","360","24","","","","","",".975","","12282"
"Kevin Pillar","- - -","CF","732","705","6326.2","1738","34","19","15","4","0","5","0","0","","","","","",".989","","12434"
"Marcus Semien","- - -","SS","722","713","6336.0","964","2036","97","55","42","383","187","203","30","","","","","",".969","","12533"
"Trevor Story","COL","SS","538","527","4638.1","709","1533","42","16","26","319","156","176","21","","","","","",".982","","12564"
"Anthony Rendon","WSN","3B","759","729","6510.0","524","1251","53","17","35","130","123","16","11","","","","","",".971","","12861"
"Francisco Lindor","CLE","SS","705","702","6189.2","904","1781","56","27","29","363","197","165","42","","","","","",".980","","12916"
"Josh Bell","PIT","1B","441","426","3678.2","3298","279","32","19","12","279","13","2","301","61","","","","",".991","","13145"
"Orlando Arcia","MIL","SS","471","421","3798.2","713","1168","54","31","23","246","120","132","22","","","","","",".972","","13185"
"Carlos Correa","HOU","SS","544","543","4773.2","642","1417","44","26","18","240","115","127","19","","","","","",".979","","14162"
"Tim Anderson","CHW","SS","516","515","4503.0","709","1323","88","45","43","248","155","104","30","","","","","",".958","","15172"
"Kris Bryant","CHC","3B","596","564","4930.1","312","1040","70","41","29","78","81","4","7","","","","","",".951","","15429"
"Amed Rosario","NYM","SS","343","335","2983.2","380","809","39","29","9","146","85","63","5","","","","","",".968","","15518"
"Jose Abreu","CHW","1B","754","753","6630.1","6215","438","51","38","10","620","59","9","650","136","","","","",".992","","15676"
"Willy Adames","TBR","SS","227","217","1943.1","229","549","30","12","18","96","63","34","9","","","","","",".963","","15986"
"Matt Chapman","OAK","3B","385","379","3336.2","351","845","42","20","22","86","86","9","4","","","","","",".966","","16505"
"Ozzie Albies","ATL","2B","372","365","3264.0","612","912","17","9","8","223","86","140","19","","","","","",".989","","16556"
"Rafael Devers","BOS","3B","324","320","2877.1","202","644","60","33","27","41","41","4","2","","","","","",".934","","17350"
"Eloy Jimenez","CHW","LF","114","114","967.2","190","6","3","2","1","0","1","0","0","","","","","",".985","","17484"
"Paul DeJong","STL","SS","357","352","3124.2","475","957","28","13","15","220","117","104","20","","","","","",".981","","18015"
"Dansby Swanson","ATL","SS","441","426","3771.1","542","1134","48","33","15","226","118","112","16","","","","","",".972","","18314"
"Pete Alonso","NYM","1B","156","152","1328.0","1077","112","12","8","4","102","9","1","106","34","","","","",".990","","19251"
"Juan Soto","WSN","LF","264","262","2314.1","480","4","4","4","0","0","2","0","0","","","","","",".992","","20123"
